consensusID	target	meanRural	meanUrban	stoolPrevelance	maxFraction	pValue	percentIdentity	alignmentLength	targetName	higherInRural	rdpSummary
Consensus633	otu_167_V3V5	0.2230765723975085	0.6126065909132475	0.34418604	0.40298507	7.12899909995679E-4	96.4	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus7	otu_507_V3V5	2.5763394971438096	3.109755042890005	0.7767442	0.7767442	9.0126752212405E-4	99.6	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus8	otu_26_V3V5	2.241184549287175	2.844073634293265	0.9209302	0.9209302	7.91023395778079E-4	98.8	250	otu_26_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus816	otu_1151_V3V5	0.350402993082778	0.0750799974218423	0.2744186	0.2744186	0.00109499975691452	94.84	252	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus820	otu_218_V3V5	0.157484050440446	0.3745376359990915	0.9302326	0.9302326	6.12483125378649E-4	98.0	250	otu_218_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus90	otu_218_V3V5	1.136506786363125	1.8266994849152551	0.9302326	0.9302326	5.04621500120317E-4	99.2	250	otu_218_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus330	otu_12_V3V5	0.5687525659272366	1.0609318672899049	0.95813954	0.95813954	0.00117896465408118	99.2	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus406	otu_675_V3V5	0.7376160303871445	0.1357408517975855	0.4744186	0.4744186	0.00131261453800557	95.6	250	otu_675_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Porphyromonadaceae(100);Parabacteroides(100)
Consensus538	otu_167_V3V5	0.232009446509572	0.6635925484797836	0.34418604	0.40298507	0.00154199988655568	94.4	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus209	otu_12_V3V5	0.5174508228458485	1.1434620244503049	0.95813954	0.95813954	0.00161440407240709	99.6	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus793	otu_312_V3V5	0.3892743731218565	0.10577403881341021	0.6465116	0.6465116	0.00174246244408727	95.6	250	otu_312_V3V5	true	Root(100);Bacteria(100);Firmicutes(96);Clostridia(91);Clostridiales(87);Veillonellaceae(39);Anaerovibrio(33)
Consensus325	otu_438_V3V5	0.519763626091605	1.0482739952402707	0.7953488	0.7953488	0.00204254325830444	99.6	250	otu_438_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus528	otu_1023_V3V5	0.17538628669875186	0.6041088886177151	0.28372094	0.28372094	0.00197864056216579	100.0	250	otu_1023_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(99);Robinsoniella(44)
Consensus752	otu_438_V3V5	0.06972721701001396	0.39757019209274	0.7953488	0.7953488	0.00190342531527699	94.0	250	otu_438_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus294	otu_46_V3V5	0.7045786435472614	0.064691964140303	0.19069767	0.20930232	0.00223388494017585	95.2	250	otu_46_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus792	otu_1188_V3V5	0.08332876600214009	0.351457909934638	0.2372093	0.2372093	0.00232549929382142	96.4	250	otu_1188_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Parasutterella(100)
Consensus187	otu_507_V3V5	0.7892017950340895	1.344462900707545	0.7767442	0.7767442	0.00243551908894024	98.8	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus112	otu_167_V3V5	0.9803921518917305	1.51593060748929	0.34418604	0.40298507	0.002989735856473	96.4	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus21	otu_438_V3V5	1.764520505099345	2.424366199709945	0.7953488	0.7953488	0.00298860249979871	98.0	250	otu_438_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus599	otu_899_V3V5	0.573698717060952	0.17585911161307	0.4	0.4	0.00282231986920334	97.6	250	otu_899_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Incertae Sedis XIV(91);Blautia(91)
Consensus6	otu_167_V3V5	2.0327275613963547	2.674049184665215	0.34418604	0.40298507	0.00298310106582633	100.0	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus64	otu_610_V3V5	1.54859683685289	0.9733190782015755	0.0	0.47115386	0.00299000944475525	100.0	250	otu_610_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Veillonellaceae(100);Veillonella(98)
Consensus370	otu_556_V3V5	0.9735149463617445	0.55577753809032	0.60930234	0.60930234	0.0033351586344883	97.6	250	otu_556_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Incertae Sedis XIV(100);Blautia(100)
Consensus852	otu_294_V3V5	0.0988346704748701	0.26204605263584047	0.81860465	0.81860465	0.00338813531577853	96.8	250	otu_294_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus86	otu_555_V3V5	1.029667175065104	1.682495681394915	0.7255814	0.7255814	0.00334161644090347	99.6	250	otu_555_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus403	otu_433_V3V5	0.39674251648178105	0.8691468572360319	0.74883723	0.74883723	0.00362410617374809	97.47	237	otu_433_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus567	otu_965_V3V5	0.634074490356595	0.18928347503416	0.28372094	0.28372094	0.00456115860297945	99.2	250	otu_965_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Incertae Sedis XIII(85);Anaerovorax(84)
Consensus151	otu_323_V3V5	1.03224757183684	1.4706064499564548	0.772093	0.772093	0.00475457837886384	100.0	250	otu_323_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Eubacteriaceae(92);Eubacterium(92)
Consensus337	otu_812_V3V5	1.022506546164072	0.570508624624424	0.4976744	0.4976744	0.00505214968436918	98.8	250	otu_812_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(81);Coprococcus(7)
Consensus440	otu_1066_V3V5	0.5188976046723005	0.8577983761306756	0.41860464	0.41860464	0.00489659765664796	100.0	250	otu_1066_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus589	otu_167_V3V5	0.19368133797231551	0.5740348600157275	0.34418604	0.40298507	0.00502275532967111	97.2	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus2	otu_12_V3V5	2.986743002273885	3.50218408144924	0.95813954	0.95813954	0.00554699744804266	100.0	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus497	otu_250_V3V5	0.6191608933189146	0.1386622572926455	0.4651163	0.4651163	0.0054857848016181	100.0	250	otu_250_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Oscillibacter(64)
Consensus179	otu_822_V3V5	1.0333275080406854	0.5351991670631115	0.0	0.41904762	0.00594071174316735	97.6	250	otu_822_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(99);Clostridiales(99);Veillonellaceae(99);Veillonella(99)
Consensus27	otu_572_V3V5	1.72029747286812	2.29039981499719	0.3116279	0.3116279	0.00612761606551815	97.6	250	otu_572_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus432	otu_232_V3V5	0.5305773465588315	0.10842609480183615	0.24186046	0.24186046	0.00610015731187219	99.2	250	otu_232_V3V5	true	Root(100);Bacteria(100);Firmicutes(68);Erysipelotrichi(38);Erysipelotrichales(38);Erysipelotrichaceae(38);Coprobacillus(26)
Consensus433	otu_793_V3V5	0.5026342199783125	0.8751283391290285	0.4744186	0.4744186	0.00619604186363609	97.2	250	otu_793_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(57);Bacteroidales(57);Bacteroidaceae(57);Bacteroides(57)
Consensus605	otu_1151_V3V5	0.639003449406645	0.3229132519586295	0.2744186	0.2744186	0.00657035704056708	97.59	249	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus743	otu_256_V3V5	0.4311611421864785	0.2054190609430775	0.80465114	0.80465114	0.00652526459433167	99.2	250	otu_256_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(58);Coprococcus(52)
Consensus54	otu_472_V3V5	1.186686497949545	1.718472409291155	0.3534884	0.3534884	0.00687774571834621	99.2	250	otu_472_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(96);Coprococcus(69)
Consensus557	otu_507_V3V5	0.42602978429544247	0.692654018096604	0.7767442	0.7767442	0.00710877394050335	99.2	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus292	otu_218_V3V5	0.7785806381669895	1.190040022894895	0.9302326	0.9302326	0.00772916193271578	96.8	250	otu_218_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus408	otu_243_V3V5	0.66562713778542	0.205113221027063	0.61860466	0.61860466	0.00767816809161026	99.6	250	otu_243_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(99);Sporobacter(63)
Consensus501	otu_923_V3V5	0.4627224399267805	0.04555908413708975	0.27906978	0.27906978	0.00776899271733933	92.03	251	otu_923_V3V5	true	Root(100);Bacteria(100);Proteobacteria(100);Deltaproteobacteria(100);Desulfovibrionales(100);Desulfovibrionaceae(97);Lawsonia(66)
Consensus217	otu_241_V3V5	0.6070976844549985	0.05054227667513065	0.1767442	0.1767442	0.00811225521834502	100.0	219	otu_241_V3V5	true	Root(100);Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Sutterella(100)
Consensus262	otu_1091_V3V5	0.6363291076179555	0.08624353701552326	0.018604651	0.018604651	0.0082819888415766	96.4	250	otu_1091_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus117	otu_507_V3V5	1.3768891177151552	1.7057938915156101	0.7767442	0.7767442	0.00850369706701315	100.0	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus47	otu_997_V3V5	1.59333565871396	2.0886807425441702	0.30232558	0.30232558	0.00903407998170014	98.8	250	otu_997_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus10	otu_630_V3V5	1.79539344801392	0.8511434349923994	0.027906977	0.027906977	0.01019741055095	100.0	250	otu_630_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Veillonellaceae(100);Megamonas(100)
Consensus338	otu_222_V3V5	0.17484277331930048	0.6223417258752004	0.9255814	0.9255814	0.00987258392197932	98.8	250	otu_222_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(97);Coprococcus(91)
Consensus346	otu_842_V3V5	0.6871693540786915	0.234487685406718	0.0	0.3904762	0.0100829553728459	99.6	250	otu_842_V3V5	true	Root(100);Bacteria(100);Firmicutes(98);Bacilli(98);Lactobacillales(97);Streptococcaceae(84);Streptococcus(83)
Consensus415	otu_630_V3V5	0.526099085833831	0.0847513689385706	0.027906977	0.027906977	0.00976371176484836	96.41	251	otu_630_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Veillonellaceae(100);Megamonas(100)
Consensus472	otu_350_V3V5	0.8426320565116775	0.5637311793454605	0.75348836	0.75348836	0.00951329324075934	96.8	250	otu_350_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Dorea(100)
Consensus704	otu_12_V3V5	0.318908647979881	0.5436750066244925	0.95813954	0.95813954	0.0101956733004059	97.6	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus273	otu_46_V3V5	0.7744811831929634	0.1927242892375265	0.19069767	0.20930232	0.010796790533372	97.6	250	otu_46_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus564	otu_127_V3V5	0.2011414898874205	0.603029890243186	0.6418605	0.6418605	0.0116590447865972	96.02	251	otu_127_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Betaproteobacteria(100);Burkholderiales(100);Alcaligenaceae(100);Parasutterella(100)
Consensus646	otu_997_V3V5	0.320011460166091	0.6119253532741435	0.30232558	0.30232558	0.0114078806951716	96.4	250	otu_997_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus719	otu_731_V3V5	0.37719028197149695	0.1180970320355505	0.0	0.37619048	0.0114413984132692	97.6	250	otu_731_V3V5	true	Root(100);Bacteria(100);Firmicutes(99);Clostridia(99);Clostridiales(99);Veillonellaceae(98);Veillonella(95)
Consensus766	otu_12_V3V5	0.14718981728881136	0.4002673571691215	0.95813954	0.95813954	0.0111519159005278	98.4	250	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus799	otu_167_V3V5	0.0388824747492067	0.2929410405832425	0.34418604	0.40298507	0.011679697622285	99.6	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus398	otu_12_V3V5	0.598429470749335	0.115041121852698	0.95813954	0.95813954	0.0124513553753749	94.42	251	otu_12_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus319	otu_312_V3V5	0.9694836217251195	0.4660350069045855	0.6465116	0.6465116	0.0127012542555649	100.0	250	otu_312_V3V5	true	Root(100);Bacteria(100);Firmicutes(96);Clostridia(91);Clostridiales(87);Veillonellaceae(39);Anaerovibrio(33)
Consensus116	otu_112_V3V5	1.436799349972575	0.9504500883662139	0.074418604	0.10465116	0.0133868502382301	93.2	250	otu_112_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Clostridiaceae(100);Clostridiaceae 1(100);Clostridium(99)
Consensus168	otu_218_V3V5	1.05499696670068	1.472012313997615	0.9302326	0.9302326	0.0132264197857662	94.8	250	otu_218_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus291	otu_507_V3V5	0.7757725464988099	1.15801372891294	0.7767442	0.7767442	0.0132550652385766	98.4	250	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus361	otu_472_V3V5	0.37920224491705945	0.793059820442079	0.3534884	0.3534884	0.0135168643417565	99.6	250	otu_472_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(96);Coprococcus(69)
Consensus590	otu_1151_V3V5	0.6509085469282815	0.35529406827382204	0.2744186	0.2744186	0.0141765382920512	95.62	251	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus679	otu_1151_V3V5	0.512704591256614	0.2272119835217325	0.2744186	0.2744186	0.0140841247876404	98.0	250	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus309	otu_542_V3V5	0.7690419056261044	0.19227437068922748	0.1767442	0.1767442	0.0145016788709118	94.8	250	otu_542_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus297	otu_507_V3V5	0.721586118758482	1.0948661714500751	0.7767442	0.7767442	0.0147287311525059	99.58	237	otu_507_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus411	otu_561_V3V5	0.782771228332472	0.3872297308639885	0.53953487	0.53953487	0.0148884091161861	99.6	250	otu_561_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(62);Coprococcus(29)
Consensus76	otu_630_V3V5	1.24927347386227	0.4772426417651575	0.027906977	0.027906977	0.0150963013284504	97.99	249	otu_630_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Veillonellaceae(100);Megamonas(100)
Consensus317	otu_768_V3V5	1.006918160247601	0.5654312180648495	0.53488374	0.53488374	0.0154065530329835	93.67	237	otu_768_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(100);Roseburia(100)
Consensus188	otu_605_V3V5	0.680283483168557	1.149076561301585	0.5255814	0.5255814	0.0160455485367476	98.8	250	otu_605_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(99);Bacteroidales(99);Bacteroidaceae(9);Bacteroides(9)
Consensus441	otu_381_V3V5	0.584337663848741	0.8659364761380695	0.7627907	0.7627907	0.0158877739615951	100.0	250	otu_381_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Subdoligranulum(89)
Consensus30	otu_222_V3V5	1.6586050292622398	2.041526455133295	0.9255814	0.9255814	0.0166205769504433	99.2	250	otu_222_V3V5	false	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Lachnospiraceae(97);Coprococcus(91)
Consensus587	otu_1151_V3V5	0.5607572601944044	0.19927017236731148	0.2744186	0.2744186	0.0165249543743029	96.0	250	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus716	otu_46_V3V5	0.391426394988063	0.08204077898451345	0.19069767	0.20930232	0.0171567267434412	98.31	236	otu_46_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
Consensus63	otu_149_V3V5	0.9968118170943101	0.2559003488751345	0.18604651	0.18604651	0.0175232291514426	99.2	250	otu_149_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Paraprevotella(100)
Consensus840	otu_12_V3V5	0.10814277749728751	0.289425099518051	0.95813954	0.95813954	0.017665409670242	98.73	237	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus223	otu_1151_V3V5	1.34634651700386	1.0108218315006599	0.2744186	0.2744186	0.0182414416983488	97.2	250	otu_1151_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Clostridia(100);Clostridiales(100);Ruminococcaceae(100);Faecalibacterium(100)
Consensus577	otu_167_V3V5	0.1603029984850425	0.48599391962536853	0.34418604	0.40298507	0.0183153458133354	99.2	250	otu_167_V3V5	false	Root(100);Bacteria(100);Proteobacteria(100);Gammaproteobacteria(100);Enterobacteriales(100);Enterobacteriaceae(100);Escherichia/Shigella(92)
Consensus274	otu_117_V3V5	0.5184918082509415	0.1170807205056875	0.041860465	0.9182692	0.0186461562988935	98.8	250	otu_117_V3V5	true	Root(100);Bacteria(100);Firmicutes(100);Bacilli(100);Lactobacillales(100);Streptococcaceae(100);Streptococcus(100)
Consensus83	otu_294_V3V5	1.369554052665165	1.7845003240386599	0.81860465	0.81860465	0.0192726706562072	99.2	250	otu_294_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus186	otu_12_V3V5	0.95734012187974	1.3840555834824348	0.95813954	0.95813954	0.0195312488874029	98.73	237	otu_12_V3V5	false	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Bacteroidaceae(100);Bacteroides(100)
Consensus192	otu_46_V3V5	0.9190673017578019	0.285975166448712	0.19069767	0.20930232	0.020051630127105	98.73	236	otu_46_V3V5	true	Root(100);Bacteria(100);Bacteroidetes(100);Bacteroidia(100);Bacteroidales(100);Prevotellaceae(100);Prevotella(100)
