Taxon	k__Archaea;p__Euryarchaeota;c__Methanobacteria;o__Methanobacteriales	k__Archaea;p__Euryarchaeota;c__Thermoplasmata;o__E2	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales	k__Bacteria;p__Actinobacteria;c__Coriobacteriia;o__Coriobacteriales	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	k__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales	k__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales	k__Bacteria;p__Cyanobacteria;c__4C0d-2;o__YS2	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Cryptophyta	k__Bacteria;p__Cyanobacteria;c__Chloroplast;o__Streptophyta	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales	k__Bacteria;p__Firmicutes;c__Bacilli;o__Turicibacterales	k__Bacteria;p__Firmicutes;c__Clostridia;o__	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales	k__Bacteria;p__Firmicutes;c__Clostridia;o__SHA-98	k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales	k__Bacteria;p__Fusobacteria;c__Fusobacteriia;o__Fusobacteriales	k__Bacteria;p__Lentisphaerae;c__[Lentisphaeria];o__Victivallales	k__Bacteria;p__Planctomycetes;c__Phycisphaerae;o__Phycisphaerales	k__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Planctomycetales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__RF32	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales	k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Cardiobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales	k__Bacteria;p__Synergistetes;c__Synergistia;o__Synergistales	k__Bacteria;p__TM7;c__TM7-3;o__	k__Bacteria;p__TM7;c__TM7-3;o__I025	k__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales	k__Bacteria;p__Tenericutes;c__Mollicutes;o__RF39	k__Bacteria;p__Tenericutes;c__RF3;o__ML615J-28	k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae;o__Verrucomicrobiales	k__Bacteria;p__[Thermi];c__Deinococci;o__Thermales
3A	0.0	0.0	14.0	65.0	307.0	46960.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	177.0	9.0	0.0	42840.0	0.0	3143.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	105.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	171.0	0.0	3.0	23.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	0.0
6A	0.0	0.0	4.0	10.0	12.0	36121.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	30.0	16.0	0.0	39870.0	0.0	298.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2725.0	0.0	0.0	505.0	0.0	0.0	1.0	0.0	1595.0	0.0	3.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
18A	0.0	0.0	6.0	25.0	76.0	28528.0	12.0	16.0	0.0	2.0	0.0	2.0	8.0	1.0	89.0	6.0	0.0	29199.0	0.0	234.0	248.0	0.0	2.0	0.0	2.0	1.0	4.0	1.0	4.0	2.0	0.0	1736.0	0.0	0.0	498.0	2.0	2.0	21.0	0.0	44.0	2.0	31.0	4.0	5.0	47.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	124.0	1.0
082A	0.0	0.0	2.0	9.0	18.0	24512.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	42.0	16.0	3.0	30568.0	0.0	570.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1529.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	67.0	0.0	3.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0
37A	108.0	0.0	17.0	28.0	59.0	23418.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	5.0	4698.0	1.0	0.0	18789.0	0.0	596.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	0.0	43.0	1.0	552.0	0.0	1.0	3315.0	0.0	4.0	312.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	3.0	0.0	0.0
28A	0.0	0.0	1.0	14.0	10.0	30421.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	4.0	1.0	0.0	12022.0	0.0	321.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	512.0	0.0	0.0	56.0	0.0	0.0	0.0	0.0	17.0	0.0	2.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	110.0	0.0	0.0	0.0
108A	0.0	0.0	0.0	9.0	14.0	15327.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	1.0	0.0	13159.0	0.0	4575.0	31.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	337.0	0.0	0.0	74.0	0.0	1.0	1.0	0.0	13612.0	0.0	1.0	5.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
20A	0.0	0.0	18.0	841.0	107.0	34480.0	0.0	5.0	0.0	0.0	0.0	1.0	5.0	3.0	261.0	4.0	0.0	24011.0	0.0	144.0	35.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	113.0	0.0	0.0	1137.0	1.0	0.0	35.0	0.0	840.0	0.0	70.0	21.0	2.0	7.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
39A	0.0	0.0	13.0	20.0	59.0	19555.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	28.0	11.0	2.0	26614.0	0.0	496.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2247.0	0.0	0.0	34.0	0.0	10.0	0.0	0.0	118.0	0.0	2.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0
118A	0.0	0.0	1.0	3.0	5.0	27417.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	28869.0	0.0	276.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	232.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
24A	0.0	0.0	5.0	79.0	11.0	14770.0	0.0	0.0	0.0	1071.0	0.0	6.0	1.0	0.0	96.0	1.0	0.0	32008.0	0.0	72.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	2.0	0.0	0.0	204.0	0.0	0.0	102.0	1.0	0.0	1.0	0.0	103.0	0.0	1.0	7.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	306.0	0.0	3779.0	0.0
119A	0.0	0.0	1.0	390.0	59.0	14788.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	21815.0	0.0	210.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	158.0	0.0	0.0	3.0	0.0	17694.0	0.0	2.0	0.0	5.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34A	0.0	0.0	4.0	7388.0	5.0	27915.0	0.0	0.0	0.0	0.0	0.0	5.0	1.0	5.0	89.0	0.0	0.0	69117.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	247.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	276.0	0.0	3.0	201.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0
091A	0.0	0.0	5.0	23.0	4.0	25658.0	0.0	0.0	0.0	0.0	2.0	3.0	0.0	0.0	23.0	6.0	0.0	30023.0	0.0	264.0	82.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	461.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	70.0	0.0
098A	0.0	0.0	2.0	105.0	5.0	39645.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	15.0	0.0	0.0	54483.0	0.0	96.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2429.0	0.0	0.0	211.0	1.0	0.0	8.0	0.0	549.0	0.0	7.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	412.0	0.0	907.0	0.0
100A	0.0	0.0	1.0	91.0	13.0	23634.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	2.0	18.0	0.0	0.0	17407.0	0.0	85.0	799.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4435.0	0.0	1.0	50.0	0.0	0.0	2.0	1.0	81.0	0.0	2.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	11.0	0.0
084A	0.0	0.0	4.0	14.0	6.0	17721.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	6.0	0.0	32336.0	1.0	163.0	24.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	443.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	5345.0	0.0	1.0	1.0	3.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
107A	0.0	0.0	1.0	2.0	8.0	15739.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	4.0	2.0	0.0	12788.0	0.0	413.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	109.0	0.0	0.0	203.0	1.0	0.0	4.0	0.0	20950.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
35A	1.0	0.0	2.0	2.0	6.0	27260.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	12.0	0.0	0.0	11347.0	0.0	122.0	56.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	1.0	47.0	0.0	1.0	2.0	0.0	4604.0	0.0	3.0	33.0	3.0	0.0	3.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
11A	0.0	0.0	16.0	18.0	36.0	29300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1294.0	0.0	0.0	18271.0	0.0	331.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1203.0	0.0	0.0	118.0	0.0	10.0	1.0	0.0	374.0	0.0	4.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10A	0.0	0.0	7.0	1125.0	28.0	15442.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2198.0	0.0	0.0	33109.0	1.0	165.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	212.0	1.0	0.0	6.0	0.0	0.0	0.0	0.0	67.0	0.0	2.0	162.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	63.0	0.0
109A	0.0	0.0	13.0	185.0	10.0	22873.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	818.0	1.0	0.0	18697.0	0.0	63.0	873.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.0	0.0	0.0	78.0	6.0	0.0	1.0	0.0	1873.0	1.0	2.0	325.0	3.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0
31A	9.0	0.0	3.0	0.0	12.0	23286.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	13804.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	214.0	0.0	0.0	119.0	0.0	0.0	1.0	0.0	98.0	0.0	0.0	9.0	1.0	0.0	0.0	6.0	0.0	0.0	0.0	41.0	0.0	1.0	0.0
29A	0.0	2.0	2.0	3.0	14.0	26464.0	0.0	0.0	0.0	15.0	0.0	4.0	0.0	3.0	195.0	3.0	0.0	8846.0	0.0	198.0	5.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	320.0	3.0	0.0	118.0	3.0	108.0	1.0	1.0	1014.0	0.0	3.0	52.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0
101A	0.0	0.0	2.0	575.0	11.0	32068.0	0.0	0.0	0.0	0.0	0.0	90.0	0.0	0.0	29.0	0.0	0.0	22008.0	0.0	377.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	4.0	2372.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	1.0	4.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
083A	0.0	0.0	0.0	332.0	0.0	25284.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	46.0	7.0	0.0	16560.0	0.0	110.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2105.0	0.0	0.0	59.0	0.0	0.0	0.0	0.0	74.0	0.0	1.0	182.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
13A	0.0	0.0	6.0	92.0	9.0	24624.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	126.0	12.0	0.0	22143.0	0.0	479.0	807.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	590.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	85.0	0.0	1.0	62.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
093A	0.0	0.0	4.0	11.0	8.0	20471.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	21.0	0.0	0.0	22365.0	0.0	75.0	2279.0	0.0	0.0	0.0	0.0	88.0	0.0	0.0	0.0	0.0	0.0	4802.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	592.0	0.0	11.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	7.0	0.0
094A	0.0	0.0	2.0	406.0	1.0	30280.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.0	4.0	0.0	8035.0	0.0	139.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2623.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	2.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
085A	0.0	0.0	1.0	64.0	1.0	49946.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	20681.0	0.0	43.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	607.0	1.0	0.0	103.0	0.0	0.0	1.0	0.0	786.0	0.0	2.0	2.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	1752.0	0.0
