ID	NAME	kegg_merge_filter_human_081A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_082A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_083A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_084A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_085A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_086A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_091A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_093A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_094A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_098A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_099A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_100A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_101A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_107A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_108A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_109A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_10A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_116A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_118A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_119A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_11A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_120A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_13A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_15A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_18A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_1A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_20A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_21A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_24A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_25A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_28A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_29A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_31A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_34A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_35A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_37A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_39A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_3A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_6A-hit-keg-mpt-cop-nul-nve-nve	kegg_merge_filter_human_7A-hit-keg-mpt-cop-nul-nve-nve
ko00680	ko00680: Methane metabolism	0.00546597	0.00560689	0.00533495	0.0054769	0.00472463	0.00543303	0.00550106	0.00563074	0.00558065	0.00560932	0.00554116	0.00549941	0.00561788	0.00542936	0.00537157	0.0055493	0.00547753	0.00590288	0.00549032	0.00557385	0.00484531	0.0054861	0.00554678	0.00550806	0.00557427	0.00504302	0.00530157	0.00541739	0.00573369	0.00565839	0.00464382	0.00461457	0.00498261	0.00538766	0.00474749	0.00478917	0.00537382	0.00505689	0.00561032	0.00548946
ko00562	ko00562: Inositol phosphate metabolism	0.00319118	0.0030557	0.00315309	0.003016	0.00339858	0.00301276	0.00307334	0.00395176	0.00385941	0.00316209	0.0029266	0.00326635	0.0032557	0.00272692	0.00302736	0.00341669	0.00286516	0.00363418	0.00312601	0.00294149	0.00339381	0.00315833	0.00323417	0.0031962	0.003328	0.00347356	0.00354493	0.00348441	0.00352118	0.00320222	0.00339635	0.00359485	0.00326544	0.00303403	0.00332697	0.00320144	0.00289079	0.0034192	0.00309289	0.0030011
ko00563	ko00563: Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	0.000624869	0.000744154	0.00066698	0.000615773	0.000678297	0.000673644	0.000660292	0.000657011	0.000693473	0.00075035	0.00060965	0.00058685	0.000725392	0.000491456	0.000541108	0.000506977	0.000596272	0.000704414	0.000551026	0.000592251	0.00068332	0.000680557	0.000658924	0.000642573	0.000665952	0.000545001	0.000692581	0.000796618	0.000672653	0.000640266	0.00066659	0.000620449	0.000622768	0.000632609	0.000658761	0.00059056	0.000595463	0.000585622	0.000732308	0.000639019
ko05100	ko05100: Bacterial invasion of epithelial cells	0.000292959	0.000232798	0.000287327	0.000353791	0.00020975	0.000309414	0.000321888	0.000202256	0.000224407	0.000391113	0.000304113	0.000273991	0.000235975	0.000379372	0.000422206	0.000236563	0.000319125	0.000262255	0.000220848	0.000420875	0.000234518	0.000287096	0.000341249	0.000308392	0.000234077	0.000357781	0.000205558	0.00029797	0.000268287	0.000257628	0.000213044	0.000200661	0.000299074	0.000299085	0.000244881	0.00023353	0.000276128	0.000241846	0.000296692	0.000350186
ko00440	ko00440: Phosphonate and phosphinate metabolism	0.00284945	0.0035006	0.00332083	0.00287926	0.00311883	0.00400934	0.00371612	0.00384681	0.00392497	0.00291473	0.0037853	0.00257281	0.00382266	0.00280287	0.00284323	0.00318523	0.00276275	0.00383323	0.00319768	0.0030737	0.00262219	0.00319797	0.00410452	0.00321229	0.00345045	0.00249743	0.00295181	0.00298364	0.0030917	0.00420279	0.00217293	0.00249603	0.00321494	0.0033931	0.00206564	0.00239614	0.00398573	0.00260018	0.00376625	0.0039231
ko00592	ko00592: alpha-Linolenic acid metabolism	0.000604369	0.000670259	0.000683474	0.00108357	0.000532611	0.000764566	0.000652394	0.000814617	0.000700461	0.000689801	0.00064636	0.000539687	0.000728633	0.00211503	0.00186019	0.000825028	0.000534477	0.000689152	0.000628304	0.00167386	0.000630232	0.000680119	0.000690159	0.000721139	0.000659566	0.000584059	0.000749038	0.000629607	0.000650432	0.000687566	0.000662541	0.000773654	0.000493372	0.000630868	0.00089608	0.000839062	0.00067667	0.000508688	0.00064441	0.000605369
ko00250	ko00250: Alanine, aspartate and glutamate metabolism	0.0193774	0.0186275	0.0179043	0.018277	0.0205125	0.0180826	0.0191395	0.0184042	0.0185919	0.018543	0.0177017	0.019659	0.0180262	0.0167661	0.0169841	0.0182006	0.018489	0.0178279	0.0182666	0.0182641	0.0195258	0.018883	0.0181024	0.0183684	0.0187496	0.01998	0.0190793	0.0184962	0.0180757	0.0183045	0.0199368	0.019658	0.020157	0.0191884	0.0193395	0.0198282	0.0178435	0.020739	0.0187388	0.0188469
ko04062	ko04062: Chemokine signaling pathway	1.18509e-05	1.46465e-05	1.39566e-05	1.47005e-05	1.65103e-05	1.75411e-05	1.46823e-05	2.15309e-05	2.13886e-05	1.85559e-05	1.40906e-05	1.05745e-05	1.72329e-05	8.26608e-06	1.09771e-05	6.57569e-06	1.85433e-05	1.09285e-05	1.39855e-05	1.16342e-05	1.33916e-05	1.53014e-05	1.97928e-05	2.17198e-05	1.24806e-05	1.69267e-05	1.02595e-05	1.25295e-05	2.56548e-05	9.62805e-06	1.29603e-05	1.15958e-05	1.30999e-05	1.1135e-05	1.57586e-05	1.38542e-05	1.87368e-05	1.04811e-05	1.98749e-05	1.38872e-05
ko04060	ko04060: Cytokine-cytokine receptor interaction	4.70469e-05	6.19279e-05	6.12673e-05	4.75433e-05	7.34744e-05	5.50166e-05	5.2075e-05	4.59548e-05	5.97296e-05	6.0108e-05	8.11738e-05	7.21237e-05	5.67983e-05	4.93086e-05	4.71023e-05	5.86876e-05	4.86791e-05	5.56915e-05	5.39752e-05	4.97529e-05	7.53543e-05	4.90136e-05	5.38764e-05	5.58414e-05	5.37346e-05	6.1053e-05	6.62045e-05	5.98436e-05	6.00311e-05	5.02825e-05	6.85944e-05	6.518e-05	6.36596e-05	4.90128e-05	5.32581e-05	6.68572e-05	5.2625e-05	5.92678e-05	4.8689e-05	5.98862e-05
ko00072	ko00072: Synthesis and degradation of ketone bodies	0.00327376	0.00289186	0.00279132	0.00376073	0.00292192	0.00277384	0.00322565	0.00254518	0.00241128	0.00354376	0.00290903	0.00343904	0.00328986	0.00610028	0.00507535	0.0032398	0.00342198	0.00290837	0.0034717	0.00381436	0.00278861	0.00330382	0.00296849	0.00308341	0.00296584	0.00320518	0.0027227	0.00331251	0.00334048	0.00276446	0.00375484	0.00275609	0.00276235	0.00321647	0.00325136	0.00308079	0.00320857	0.0029288	0.00313849	0.0033866
ko04940	ko04940: Type I diabetes mellitus	2.43633e-05	2.48908e-05	2.20367e-05	2.1919e-05	2.10774e-05	2.42962e-05	2.93493e-05	3.50828e-05	4.49435e-05	1.89711e-05	2.2349e-05	2.44998e-05	2.56225e-05	2.5037e-05	2.01234e-05	4.39401e-05	1.74802e-05	4.30599e-05	3.82862e-05	2.73246e-05	2.18351e-05	2.5491e-05	3.515e-05	2.37894e-05	4.13072e-05	1.823e-05	2.96561e-05	2.4408e-05	3.94002e-05	2.09162e-05	2.70483e-05	2.35233e-05	1.57606e-05	2.97426e-05	1.73423e-05	1.52945e-05	1.77415e-05	2.37996e-05	2.66075e-05	1.80793e-05
ko00010	ko00010: Glycolysis / Gluconeogenesis	0.0119969	0.0115642	0.0116333	0.0119363	0.010938	0.0114736	0.0118425	0.0115626	0.0115991	0.0116286	0.0118755	0.0111602	0.0114387	0.0123059	0.0124527	0.0115779	0.0129661	0.0116724	0.0112238	0.0120957	0.0109134	0.0116498	0.0110498	0.0118497	0.0107877	0.0118784	0.0111766	0.0117091	0.0125831	0.0113283	0.0107047	0.0107757	0.0108777	0.012223	0.0113566	0.0115699	0.011337	0.0111451	0.0118386	0.0130003
ko05412	ko05412: Arrhythmogenic right ventricular cardiomyopathy (ARVC)	9.38404e-06	7.99439e-06	1.1126e-05	8.64114e-06	9.16892e-06	4.67155e-06	5.50657e-06	4.9224e-06	8.79353e-06	5.76712e-06	8.04389e-06	8.15441e-06	6.36298e-06	4.38426e-06	5.685e-06	5.19896e-06	6.16097e-06	5.20711e-06	6.68967e-06	6.45742e-06	1.08647e-05	6.92813e-06	1.01168e-05	6.55803e-06	7.41822e-06	8.56192e-06	8.35492e-06	1.20338e-05	1.0627e-05	5.05754e-06	9.06394e-06	9.91897e-06	8.24131e-06	8.37721e-06	4.3683e-06	7.77568e-06	3.44126e-06	5.87526e-06	6.41033e-06	5.56122e-06
ko04650	ko04650: Natural killer cell mediated cytotoxicity	0.000132027	0.000148118	0.000159781	0.000135801	0.000189442	0.000138546	0.000142109	0.000165128	0.000169807	0.000127382	0.000136245	0.000171071	0.00014949	9.30953e-05	0.000114395	0.000201786	0.00015903	0.000138389	0.000157195	0.000123633	0.000213861	0.000137225	0.000138827	0.000148541	0.000160141	0.000189727	0.000169814	0.000158162	0.000147563	0.000124312	0.000211649	0.000201116	0.000173284	0.000142425	0.000177916	0.000182981	0.000147464	0.000169857	0.000146634	0.000133329
ko03450	ko03450: Non-homologous end-joining	0.000319338	0.000331249	0.00028714	0.000334356	0.000278998	0.0003805	0.000364813	0.000373434	0.000316559	0.000360559	0.00037542	0.000262987	0.00046038	0.000236777	0.000244937	0.000248998	0.000272376	0.000421084	0.000401012	0.000301789	0.000311462	0.00029556	0.000367979	0.000339624	0.000343855	0.00030924	0.000375245	0.000360218	0.000453862	0.000301608	0.000383485	0.00029877	0.000284475	0.000348593	0.000361288	0.000356854	0.000318799	0.00029563	0.000342509	0.000334631
ko00760	ko00760: Nicotinate and nicotinamide metabolism	0.0133966	0.0127125	0.0128667	0.0130123	0.0130678	0.01239	0.0125395	0.0124105	0.0126384	0.0131441	0.0128481	0.0136587	0.0129243	0.0121743	0.0131699	0.0129921	0.0130443	0.0122532	0.0129027	0.0126727	0.0140241	0.0129632	0.0128316	0.0131981	0.0130536	0.0129216	0.0130055	0.0132848	0.0126219	0.0128551	0.0135945	0.0136851	0.0134283	0.0129898	0.0135791	0.0133537	0.0131879	0.0135474	0.0129872	0.0131228
ko00920	ko00920: Sulfur metabolism	0.00877197	0.0100295	0.00940696	0.0100557	0.00883479	0.0104982	0.00979172	0.00959184	0.0096576	0.00974062	0.00943344	0.00850381	0.00962151	0.0101166	0.00972687	0.00966522	0.00923488	0.00968169	0.0103555	0.00964273	0.00846484	0.00966826	0.00971515	0.0102765	0.00942202	0.00870111	0.00927641	0.00879546	0.00871177	0.00981312	0.00890167	0.00950131	0.00898715	0.0100316	0.00865087	0.00877373	0.00990139	0.00897401	0.00981451	0.00974736
ko04144	ko04144: Endocytosis	0.000262903	0.000268265	0.000261043	0.000255324	0.000244456	0.000247317	0.000239406	0.000253568	0.000245135	0.000245505	0.000238473	0.000245784	0.000279902	0.000172508	0.00017071	0.000220439	0.000229927	0.000284741	0.00025634	0.000192161	0.000234654	0.000264426	0.000298251	0.000249405	0.000258479	0.000236259	0.000247971	0.000287496	0.000264423	0.000220154	0.000273738	0.000258272	0.000253986	0.000261363	0.000250857	0.000237006	0.000246968	0.000238816	0.000232722	0.000244307
ko04145	ko04145: Phagosome	0.000182586	0.000191498	0.000198182	0.000152686	0.000159838	0.000188165	0.000191275	0.000173782	0.000173423	0.000177956	0.000181638	0.000174374	0.000194683	0.000112667	0.000115402	0.000162387	0.000163021	0.000193481	0.000195793	0.000148477	0.000196796	0.000160544	0.000183119	0.000174541	0.0001852	0.000168354	0.000164143	0.000192771	0.00018904	0.000179331	0.000181961	0.000171493	0.00018267	0.000156059	0.000155984	0.000173672	0.000177922	0.000188741	0.000168104	0.000185621
ko04146	ko04146: Peroxisome	0.0007749	0.000881077	0.000781031	0.000748047	0.00065571	0.000719565	0.000759841	0.00080947	0.000829364	0.000791547	0.000765554	0.000730444	0.000864801	0.000920833	0.000909178	0.000863957	0.000654164	0.000904105	0.000837054	0.00096021	0.000658103	0.000912067	0.000910502	0.000863022	0.00092952	0.000636995	0.000837029	0.000780044	0.000882471	0.000801882	0.000672122	0.000643289	0.000666006	0.000742535	0.000685849	0.000634711	0.000760511	0.000581048	0.000787529	0.000670882
ko00600	ko00600: Sphingolipid metabolism	0.00452491	0.00554108	0.00624023	0.00421257	0.00488064	0.0070468	0.00498965	0.00625882	0.00536759	0.00515331	0.00662658	0.0045296	0.00608626	0.00445783	0.00378401	0.00499306	0.00406307	0.00700927	0.00507941	0.00452143	0.00455478	0.00452684	0.00536284	0.00461191	0.00461138	0.00443706	0.00550967	0.00480915	0.00426139	0.00606316	0.00488612	0.005465	0.00488803	0.00519771	0.00514519	0.00440107	0.00523867	0.00505992	0.00497262	0.00442735
ko04140	ko04140: Regulation of autophagy	0.000489328	0.000496855	0.000420476	0.000389047	0.000478429	0.000492861	0.000545738	0.000468573	0.000396243	0.000490927	0.000462153	0.000444412	0.000513355	0.000316488	0.000360209	0.000371361	0.000441199	0.000535667	0.000532775	0.000418187	0.000633445	0.000506728	0.000482895	0.000396622	0.000514845	0.000481048	0.000565268	0.000462304	0.000480683	0.000450332	0.000555243	0.000436291	0.000496506	0.000444068	0.000534799	0.000481605	0.00042709	0.000503165	0.000516788	0.000470629
ko04141	ko04141: Protein processing in endoplasmic reticulum	0.00111574	0.00103274	0.00103873	0.00102249	0.00111856	0.00107242	0.00106614	0.00110618	0.001064	0.00097169	0.00105519	0.0010264	0.00102303	0.000730387	0.00076722	0.000884801	0.00101264	0.0010654	0.00117801	0.000858548	0.00109214	0.000976453	0.00106581	0.00103559	0.0010568	0.00109595	0.00105773	0.00119518	0.00108652	0.00101769	0.00118173	0.00116508	0.0011131	0.00101777	0.00119686	0.00105389	0.000982609	0.00108543	0.00100261	0.00103388
ko04142	ko04142: Lysosome	0.000344236	0.000348121	0.000365017	0.000283999	0.000397179	0.000324648	0.000346495	0.000395019	0.000367069	0.000328266	0.000306887	0.000293932	0.000344511	0.000244064	0.000227187	0.000338376	0.000273606	0.000358496	0.000318497	0.000281306	0.000360118	0.00035643	0.000315874	0.000335172	0.000360171	0.000361731	0.000335605	0.000396598	0.000336964	0.00029031	0.000405953	0.000388405	0.000360888	0.000311416	0.000343613	0.000341461	0.000282952	0.000327082	0.000289977	0.000287003
ko00604	ko00604: Glycosphingolipid biosynthesis - ganglio series	0.000108749	0.000110856	0.00014015	9.76741e-05	0.000149009	0.000128559	0.000132731	0.000126572	0.00014719	0.000111916	9.95532e-05	9.59759e-05	0.00011791	6.82581e-05	7.29121e-05	0.000104327	0.000101479	0.000102108	9.81739e-05	7.48087e-05	8.09031e-05	0.000110077	0.000142936	0.000136676	0.000122291	7.52053e-05	0.000104075	0.000124044	9.0637e-05	9.62659e-05	0.000100392	9.92237e-05	7.95154e-05	0.00011108	6.434e-05	8.05584e-05	0.000100595	8.23651e-05	0.000150487	0.000102199
ko04260	ko04260: Cardiac muscle contraction	5.04992e-05	5.45366e-05	4.79793e-05	4.12271e-05	3.30587e-05	3.92452e-05	4.99115e-05	4.04575e-05	4.29877e-05	4.36404e-05	4.15279e-05	4.14767e-05	4.5984e-05	2.72239e-05	3.16731e-05	4.83998e-05	5.05409e-05	4.02439e-05	3.77642e-05	3.73815e-05	3.79665e-05	5.08489e-05	6.61025e-05	5.09027e-05	5.22562e-05	5.5271e-05	5.36952e-05	6.21248e-05	5.7058e-05	4.4059e-05	5.57363e-05	3.82496e-05	4.61592e-05	4.60091e-05	3.55048e-05	5.07622e-05	4.12352e-05	5.85034e-05	5.40578e-05	5.03094e-05
ko03040	ko03040: Spliceosome	0.000472812	0.000476588	0.000499884	0.000419933	0.000536443	0.000487137	0.000498634	0.000515773	0.000497504	0.000462734	0.000485962	0.000504929	0.000517374	0.000383207	0.000383658	0.000449333	0.000461034	0.000582938	0.000523809	0.000474826	0.000584154	0.000493257	0.000562687	0.000496146	0.000503722	0.000543593	0.000576943	0.000584257	0.000512405	0.00043181	0.000599803	0.00060239	0.000565281	0.000481559	0.000550769	0.000631922	0.000499934	0.000481089	0.000475814	0.000456875
ko04110	ko04110: Cell cycle	0.00022195	3.44023e-05	2.82463e-05	3.02706e-05	3.41337e-05	3.1107e-05	3.07642e-05	3.03748e-05	3.22533e-05	3.81655e-05	2.88816e-05	3.44823e-05	3.90846e-05	2.43966e-05	2.29818e-05	3.57701e-05	3.42263e-05	3.1202e-05	3.24131e-05	0.000174288	3.57926e-05	0.000229149	4.72444e-05	3.32753e-05	4.46389e-05	2.75569e-05	2.9894e-05	0.000262185	0.000237117	3.3789e-05	4.25184e-05	3.81905e-05	2.54926e-05	3.56463e-05	3.14142e-05	2.81892e-05	2.82508e-05	2.76748e-05	3.03147e-05	2.92535e-05
ko00523	ko00523: Polyketide sugar unit biosynthesis	0.0062635	0.00606857	0.00643162	0.00566594	0.00796383	0.00603257	0.00630526	0.00657441	0	0.00555035	0.00639411	0.00847696	0.00642624	0.00421723	0.00518495	0.00535369	0.00614973	0.0074562	0.00618084	0.00492159	0.00617689	0.00595388	0.00686493	0.00576017	0.00557407	0.00722022	0.00769123	0.00594778	0.00617501	0.00543964	0.00883905	0.00870705	0.00748666	0.00601133	0.00626378	0.00741042	0.00596677	0.00770332	0.00540989	0.00662622
ko04711	ko04711: Circadian rhythm - fly	7.15624e-05	2.71194e-05	2.96183e-05	3.12454e-05	1.11932e-05	8.60045e-06	1.64976e-05	1.92947e-05	1.27721e-05	2.84786e-05	3.00213e-05	2.32241e-05	2.48206e-05	2.84872e-05	3.05451e-05	5.0396e-05	2.98399e-05	2.80808e-05	1.67695e-05	1.39874e-05	4.15089e-05	2.74227e-05	3.56408e-05	3.59172e-05	3.5649e-05	3.35551e-05	1.42668e-05	3.89087e-05	1.45178e-05	2.17832e-05	2.08881e-05	3.00627e-05	1.4074e-05	3.70412e-05	4.34949e-05	2.11453e-05	2.48096e-05	7.40335e-06	8.13276e-06	1.63486e-05
