ID	NAME	kegg_merge_filter_human_081A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_082A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_083A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_084A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_085A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_086A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_091A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_093A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_094A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_098A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_099A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_100A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_101A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_107A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_108A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_109A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_10A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_116A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_118A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_119A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_11A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_120A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_13A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_15A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_18A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_1A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_20A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_21A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_24A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_25A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_28A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_29A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_31A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_34A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_35A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_37A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_39A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_3A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_6A-hit-keg-mpm-cop-nul-nve-nve	kegg_merge_filter_human_7A-hit-keg-mpm-cop-nul-nve-nve
M00376	M00376: 3-Hydroxypropionate bicycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00375	M00375: Hydroxypropionate-hydroxybutylate cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00374	M00374: Dicarboxylate-hydroxybutyrate cycle	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00373	M00373: Ethylmalonyl pathway	2.5519e-08	4.80441e-09	3.61553e-12	7.23925e-15	3.36093e-18	2.23645e-09	1.21677e-18	2.95035e-18	3.65942e-22	3.14041e-08	1.10138e-08	3.91258e-19	4.51494e-07	3.9821e-15	4.09698e-16	4.29322e-17	1.37139e-11	5.73946e-08	2.66008e-10	4.68196e-11	1.9747e-08	7.41625e-14	1.03748e-10	5.41351e-12	1.06337e-08	3.37975e-13	1.27231e-10	1.11969e-08	5.38963e-13	2.6201e-11	5.02765e-13	1.43837e-13	7.26062e-13	1.03942e-11	4.56711e-10	8.44914e-12	2.11217e-09	1.04725e-20	3.69407e-15	7.53607e-12
M00372	M00372: Abscisic acid biosynthesis, beta-carotene => abscisic acid	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00371	M00371: Castasterone biosynthesis, campesterol => castasterone	2.53612e-29	0	0	0	0	0	8.99667e-12	1.88394e-44	0	6.23994e-55	0	1.18165e-28	1.52824e-32	5.07967e-19	2.2878e-19	1.20036e-21	1.03851e-09	0	8.56157e-20	1.66541e-67	0	4.3715e-20	9.85097e-21	9.03303e-17	0	0	0	0	1.89892e-22	1.3078e-12	1.62675e-20	0	6.26049e-18	1.02269e-52	0	0	2.89209e-97	0	0	0
M00370	M00370: Glucosinolate biosynthesis, tryptophan => glucobrassicin	5.72607e-21	2.65796e-37	0	0	0	0	3.96692e-75	0	0	0	0	3.59862e-29	5.96697e-52	0	0	0	1.54083e-20	6.46382e-48	0	0	0	0	0	0	0	0	0	1.77069e-37	5.59474e-27	0	1.38376e-33	0	0	0	0	0	0	5.64679e-85	0	0
M00012	M00012: Glyoxylate cycle	0.00421867	0.00462144	0.00416737	0.00740328	0.00432079	0.00452663	0.00301079	0.00494213	0.00415032	0.00453053	0.00414453	0.00363955	0.00426581	0.0128835	0.0115289	0.00616159	0.00306163	0.00403216	0.00394086	0.0109604	0.00529641	0.0042359	0.0047148	0.00484055	0.00450924	0.00324398	0.005647	0.00377178	0.00409615	0.00414802	0.0042603	0.00592351	0.00412663	0.00418719	0.00650593	0.00523901	0.00444475	0.0031184	0.00403821	0.00338453
M00013	M00013: Malonate semialdehyde pathway, propanoyl-CoA => Acetyl-CoA	2.21875e-40	5.785e-42	1.05276e-39	1.09368e-13	3.79752e-29	4.02819e-38	7.25764e-40	5.60166e-40	5.60226e-35	2.52367e-17	3.11643e-20	4.61846e-45	5.33392e-10	2.36896e-13	5.22339e-12	3.01822e-27	1.94608e-37	4.93529e-42	3.67061e-13	7.42805e-13	3.5442e-36	2.36974e-18	8.67616e-27	5.29445e-34	1.42852e-11	1.83017e-27	5.65458e-14	1.96048e-13	6.21706e-43	6.87591e-38	1.2365e-37	1.22283e-31	1.8689e-40	2.36983e-42	1.6818e-12	5.3977e-27	1.43022e-42	2.43763e-35	1.27766e-42	1.44657e-41
M00011	M00011: Citrate cycle, second carbon oxidation	0.00647532	0.00699795	0.00957807	0.00732705	0.00840187	0.00974738	0.00690461	0.0116254	0.0115489	0.00743741	0.010558	0.00767215	0.0109055	0.0111432	0.0108182	0.00884058	0.0060298	0.0120982	0.00662719	0.0107179	0.00699534	0.00711305	0.00708946	0.00710213	0.00923001	0.00838867	0.0104214	0.00801238	0.00944171	0.00779042	0.00630391	0.00756281	0.00740035	0.00762659	0.00747905	0.00835531	0.00706714	0.00663953	0.00687886	0.00561846
M00016	M00016: Lysine biosynthesis, aspartate => lysine	0.0152008	0.0156901	0.0156562	0.0160691	0.0142907	0.0143859	0.0152181	0.0150563	0.0151299	0.0165815	0.0158526	0.0158446	0.0163147	0.0160104	0.0154635	0.0158544	0.0178176	0.0154359	0.0161367	0.0169145	0.015027	0.0174087	0.0158103	0.0164761	0.0177159	0.0179241	0.0146722	0.0155106	0.0180927	0.0148264	0.0138738	0.0143734	0.0147746	0.0166072	0.013078	0.0166084	0.0130639	0.0148681	0.0156455	0.0157902
M00017	M00017: Methionine biosynthesis, apartate => homoserine => methionine	0.0122376	0.011707	0.0119998	0.0126111	0.0133119	0.0121385	0.0114795	0.010164	0.00936669	0.0103284	0.0117448	0.0111596	0.0118911	0.0137537	0.0137473	0.0119322	0.0123988	0.0104015	0.0108588	0.0131321	0.0119681	0.0107687	0.0105678	0.0122032	0.0122344	0.0145025	0.013308	0.0116883	0.0104304	0.0111503	0.013263	0.0136083	0.0129209	0.012512	0.0143104	0.0137883	0.0109032	0.0131814	0.01237	0.0137708
M00014	M00014: Glucuronate pathway (uronate pathway)	0.000403416	1.64597e-05	0.000484339	8.02345e-05	1.95434e-06	0.000249465	0.000495052	0.000575247	4.55114e-05	0.000111384	0.00017483	0.000371545	0.00036746	0.000335644	0.000630572	0.000324013	0.000163119	0.000874751	0.000660602	0.000166433	7.42884e-06	0.000155936	0.000140413	1.04532e-05	0.000562076	6.10584e-06	0.000487861	3.3089e-06	0.000351869	0.000584031	0.000734445	0.000296156	6.19928e-05	0.000626049	6.17895e-07	0.000560504	0.000582861	0.000741851	1.17547e-05	0.000451976
M00152	M00152: Complex III (Cytochrome bc1 complex)	0.000739769	0.000582143	0.000165109	2.27942e-05	0.000155647	0.00020271	0.00066107	0.000388011	2.12478e-05	0.000205294	0.000270378	0.00010524	0.000385273	8.4438e-05	0.000198969	1.125e-07	0.000235773	0.000367956	0.000770146	0.0003599	3.49571e-06	0.000243092	2.11049e-06	0.000419824	0.000672248	0.000119759	2.03206e-05	0.000382541	0.000776549	0.000376883	0.000734451	2.16747e-05	0.000291864	2.90561e-05	8.64532e-05	4.14777e-05	1.28913e-06	0.000568064	0.000483217	1.51552e-07
M00018	M00018: Threonine biosynthesis, apartate => homoserine => threonine	0.0189544	0.0165072	0.0149935	0.0165457	0.014991	0.0166826	0.018956	0.0146624	0.0143547	0.0166121	0.0126894	0.0162686	0.0153	0.0157119	0.0153682	0.0152187	0.0201691	0.0127467	0.0196311	0.0165707	0.017807	0.0177927	0.0153711	0.0163955	0.0137924	0.0199228	0.016961	0.015522	0.0208846	0.0150518	0.0172195	0.0157664	0.0149348	0.019106	0.0164309	0.0183755	0.0168409	0.0163149	0.0175375	0.0195398
M00019	M00019: Leucine biosynthesis, pyruvate => 2-oxoisovalerate => leucine	0.0142532	0.0124487	0.0154057	0.0168831	0.0155524	0.0107401	0.0110881	0.0131164	0.0107959	0.0161805	0.0120718	0.0121156	0.014203	0.0175715	0.0177278	0.015364	0.0141165	0.0141696	0.0135954	0.0179099	0.0137747	0.0156137	0.00945866	0.0167578	0.0149418	0.0126282	0.013052	0.00994133	0.0120377	0.0143407	0.0162828	0.0195114	0.00871537	0.0125699	0.0199089	0.018398	0.0125279	0.0100466	0.0122265	0.0172314
M00157	M00157: F-type ATPase, bacteria	0.0333179	0.0282697	0.0285872	0.0276828	0.0315178	0.0300361	0.0300574	0.0240766	0.0255102	0.02742	0.0267845	0.0272983	0.0254347	0.0191714	0.0227199	0.0269768	0.0322323	0.0225365	0.0298045	0.0199632	0.0300574	0.0287604	0.0277523	0.0265843	0.0251073	0.0285901	0.0259566	0.026787	0.0246286	0.0268196	0.0293285	0.0257029	0.0300193	0.0307247	0.0279162	0.0280955	0.0306199	0.0320677	0.0274771	0.0331163
M00156	M00156: Complex IV (Cytochrome c oxidase), cytochrome c oxidase, cbb3-type	0.00120363	0.00138734	0.00177203	0.00156069	0.00156523	0.00124488	0.0014514	0.00127773	0.00147925	0.00131363	0.00126169	0.00124221	0.00166693	0.000784314	0.000798033	0.00104471	0.00114522	0.00143248	0.00172764	0.000965899	0.00150625	0.00150459	0.00167574	0.00124627	0.00163167	0.000867157	0.00148156	0.00145631	0.00160541	0.00141901	0.00122266	0.00130804	0.00130544	0.00119789	0.00107887	0.000795401	0.00150064	0.00088056	0.00142999	0.00136806
M00155	M00155: Complex IV (Cytochrome c oxidase), cytochrome o ubiquinol oxidase/cytochrome c oxidase/quinol oxidase polypeptide	2.80248e-31	2.17558e-07	1.02663e-07	5.3656e-05	3.12227e-13	2.56397e-08	1.38895e-06	4.30266e-10	2.74975e-38	4.96517e-11	3.52008e-12	7.72954e-12	1.02977e-11	4.60814e-09	3.14175e-19	1.25526e-38	1.70043e-32	2.25854e-10	2.76921e-10	3.62746e-27	2.38566e-62	8.05618e-21	2.89379e-11	1.5416e-08	1.37834e-10	7.54427e-07	1.89682e-36	5.33259e-10	1.54696e-09	1.80895e-10	7.85688e-07	3.05729e-46	0.000143046	2.72865e-41	5.03855e-10	1.067e-10	1.00114e-45	2.09415e-12	7.8913e-08	2.58392e-31
M00154	M00154: Complex IV (Cytochrome c oxidase), cytochrome c oxidase	4.30627e-06	2.3276e-05	1.73547e-12	0.000235144	0.000236935	1.47407e-07	4.01878e-25	0.000225934	8.36042e-09	3.4629e-05	6.44107e-11	9.28602e-07	0.000307494	1.79762e-08	9.23542e-07	2.82345e-06	1.5987e-12	0.000126236	0.000162224	1.75019e-07	4.47081e-08	0.000383777	2.29507e-05	4.40213e-07	1.47373e-11	9.80915e-10	1.78122e-05	1.3015e-06	1.25709e-06	1.78493e-07	0.000194516	0.000191663	9.74051e-06	3.90961e-07	7.96456e-08	1.95659e-05	3.74271e-10	6.56052e-07	6.87755e-07	4.14107e-06
M00128	M00128: Ubiquinone biosynthesis, eukaryotes, chorismate => ubiquinone	0.00121719	0.00139942	0.00125412	0.00122658	0.0011237	0.00114101	0.00114437	0.000371865	0.00121195	0.00111776	0.000957088	0.00111536	0.00126054	0.000835688	0.000991889	0.00117436	0.000906726	0.000764791	0.00128209	0.00113457	0.00113131	0.00125295	0.00105548	0.00124174	0.00124609	0.00109891	0.00110928	0.00155521	0.00122759	0.00105188	0.00120353	0.00140297	0.000855806	0.00110159	0.00115683	0.00102006	0.0010876	0.000932071	0.00109804	0.00113467
M00129	M00129: Ascorbate biosynthesis, animals, glucose-1P => ascorbate	0.000552442	0.000565135	0.000415971	0.000552698	0.00113395	0.00028592	0.000735931	0.000681078	2.00556e-05	0.000666204	0.000258687	0.000901586	0.000624714	0.000262003	2.58419e-05	0.000314866	0.000729356	0.000774042	2.70613e-05	9.75244e-05	0.000224829	0.000299858	0.000251279	3.5258e-05	0.000655762	6.17424e-05	0.000362288	0.00031889	0.000555329	7.51684e-05	0.00064407	0.00118595	3.3592e-05	0.000218701	8.03648e-08	0.000712939	0.000558524	4.00998e-07	0.000252765	1.54498e-05
M00126	M00126: Tetrahydrofolate biosynthesis, GTP => THF	0.0207852	0.0198106	0.0222955	0.017249	0.0194137	0.0206208	0.0205251	0.024827	0.0262008	0.0221453	0.0242344	0.0187801	0.0235738	0.0192388	0.0186496	0.0215367	0.0170332	0.0255017	0.0220395	0.0182467	0.0211627	0.0210004	0.0265751	0.0181618	0.0234144	0.017972	0.0238525	0.0234853	0.0192921	0.0227557	0.0191548	0.0183159	0.019255	0.0186785	0.017905	0.0159135	0.020984	0.0162903	0.0201097	0.0163339
M00127	M00127: Thiamine biosynthesis, AIR => thiamine-P/thiamine-2P	0.0203909	0.0181374	0.0180726	0.0192691	0.0291569	0.0185133	0.0180565	0.0165609	0.0182056	0.0185393	0.0177488	0.0211542	0.0175965	0.0162084	0.0167801	0.0188965	0.0173434	0.0130016	0.0191932	0.0170396	0.0248375	0.0207142	0.0173083	0.0180059	0.0182309	0.0230909	0.022746	0.0172187	0.0176294	0.017787	0.0299809	0.0263268	0.0296939	0.0199326	0.0265567	0.0223188	0.0202733	0.0294051	0.0186317	0.0182183
M00124	M00124: Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	0.00315052	0.00303372	0.00225092	0.00507546	0.00214411	0.00348193	0.00338156	0.00256535	0.00253655	0.00270253	0.0017575	0.00238444	0.00297972	0.00933902	0.00783825	0.00533297	0.00241206	0.00273189	0.00371274	0.00792012	0.00342732	0.00325747	0.00308025	0.00319421	0.00350258	0.00333572	0.00278697	0.0042059	0.00290672	0.00257109	0.00194024	0.00343958	0.00258186	0.00291622	0.00394234	0.00332268	0.00377075	0.0020111	0.00384789	0.00310132
M00125	M00125: Riboflavin biosynthesis, GTP => riboflavin/FMN/FAD	0.0251159	0.028065	0.0259811	0.0228137	0.0294503	0.0291532	0.0246723	0.0290209	0.0309807	0.0260175	0.0298402	0.0272053	0.0267661	0.0197629	0.0211242	0.0252277	0.0242131	0.0256922	0.0275437	0.0194475	0.0312938	0.0290231	0.030044	0.0254008	0.0263864	0.0256332	0.0272852	0.0274122	0.0260576	0.027778	0.0309025	0.031751	0.0309536	0.0243466	0.0285914	0.0282423	0.0260696	0.0318403	0.0270997	0.0224437
M00122	M00122: Cobalamin biosynthesis, cobinamide => cobalamin	1.17986e-05	0.000979559	2.97778e-08	0.00145128	3.16006e-10	3.15775e-05	4.66962e-05	2.23109e-11	9.0622e-09	1.0665e-06	0.000243004	0.000464484	6.44587e-06	0.00273293	0.00275272	0.00130034	4.34519e-05	0.00103338	4.02937e-09	0.00196379	0.000794995	2.59956e-06	7.02824e-11	0.000108065	0.00121246	0.00223465	0.00115553	1.81267e-05	0.000811165	0.00137593	1.27239e-07	1.23081e-05	0.00463833	0.000288843	0.000746866	0.000917064	0.000135936	6.24933e-06	5.03957e-05	4.26811e-12
M00123	M00123: Biotin biosynthesis, pimeloyl-CoA => biotin	0.0138397	0.0181537	0.0184995	0.0150611	0.0110244	0.019189	0.0173926	0.0247487	0.0240797	0.018514	0.0217448	0.015409	0.0203436	0.0169458	0.017327	0.0204545	0.0120806	0.0241855	0.0185822	0.0156319	0.0134572	0.0184946	0.0231845	0.0152163	0.0220831	0.0106047	0.0191005	0.0160484	0.0160854	0.0220829	0.00918874	0.00954809	0.0123214	0.0152247	0.0100153	0.00939876	0.0177529	0.00889884	0.0181178	0.012309
M00121	M00121: Heme biosynthesis, glutamate => protoheme/siroheme	0.00703657	0.00800005	0.00715701	0.0083142	0.006341	0.00790865	0.00726954	0.00800287	0.00763015	0.00706253	0.00778821	0.00759626	0.00725424	0.0102382	0.00980088	0.00756894	0.00730802	0.00761424	0.00781332	0.00939147	0.00630529	0.00666171	0.00603954	0.00786118	0.00721065	0.00605219	0.00691889	0.00719284	0.00708338	0.00744253	0.00570667	0.00831824	0.00610956	0.00727786	0.00782059	0.00670912	0.00766433	0.00660065	0.00718275	0.00747669
M00089	M00089: Triacylglycerol biosynthesis	0.00125504	0.000848887	0.000892636	0.00111233	0.00107686	0.000689267	0.00105905	0.000560767	0.00148315	0.00111611	0.000661832	0.00110382	0.000880962	0.000567684	0.000907221	0.000710237	0.000621942	0.00132253	0.00138017	0.00141492	0.000888465	0.00150838	0.000862479	0.000323166	0.000972004	0.000559811	0.000499407	0.00160517	0.000653233	0.000720572	0.0010012	0.00106536	0.000580232	0.000726628	0.000793159	0.00113137	0.000503636	0.000533895	0.00139012	0.0010139
M00088	M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0.00119226	0.00155052	0.00130903	0.00104391	0.000918752	0.00133809	0.00126369	0.00100034	0.00141282	0.00114686	0.000829591	0.00138827	0.00158594	0.00109269	0.00103489	0.00135326	0.00110067	0.00161867	0.00117178	0.0010685	0.00172259	0.00135372	0.0012756	0.0012203	0.00185428	0.00276225	0.00128443	0.00119484	0.00124653	0.00125161	0.00130597	0.0013178	0.00081493	0.00118964	0.000882898	0.00162456	0.000993971	0.00109206	0.00104341	0.00115218
M00080	M00080: Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen	0	6.35018e-14	1.15053e-25	2.03227e-85	7.90734e-13	1.88498e-13	1.7896e-17	7.13863e-15	3.54085e-31	6.20527e-09	1.25851e-05	7.72971e-14	0	6.44405e-27	1.03584e-25	3.36928e-11	0	1.00575e-54	1.4108e-54	1.11184e-25	3.72804e-17	4.6372e-30	1.4601e-14	3.17596e-15	6.07871e-30	2.1575e-29	3.69445e-14	2.49428e-76	0	3.93489e-11	0	2.88492e-24	2.99277e-70	5.99657e-19	5.94397e-23	2.92362e-15	9.69117e-08	2.92788e-14	3.64464e-17	3.18963e-70
